release_year,avg_playtime,metacritic_score,number_of_achievements,multiplayer,price
2023,70.42,67.3,126,1,83.77
2021,66.97,72.4,81,1,84.02
2012,25.34,71.7,9,0,50.04
2007,25.13,69.9,105,0,51.57
2007,28.14,77.7,0,0,56.24
2005,29.85,56.4,38,0,39.56
2009,59.01,83.8,20,0,65.5
2014,48.51,91.9,64,0,67.33
2011,57.54,72.3,14,0,52.03
2013,53.47,72.1,131,0,70.7
2011,74.29,76.6,60,0,72.36
2013,18.81,85.2,147,1,74.01
2012,47.61,71.8,137,1,65.87
2016,1.0,84.3,86,0,54.38
2006,13.66,79.9,104,1,75.2
2005,38.5,95.0,33,1,73.48
2020,48.36,71.7,123,1,76.22
2009,37.96,55.2,109,0,50.14
2007,28.66,60.7,32,0,38.27
2016,32.21,75.1,97,1,77.14
2012,67.39,85.3,60,1,89.35
2007,32.32,68.5,9,1,55.22
2005,74.98,72.7,83,1,81.66
2007,55.88,81.8,64,0,63.52
2009,49.15,65.3,76,0,65.38
2019,16.13,68.9,0,0,59.6
2018,58.7,63.3,132,0,69.0
2007,30.12,86.8,79,1,80.68
2005,16.11,90.4,14,0,62.24
2009,50.26,59.2,27,0,53.57
2018,12.24,73.6,22,1,58.42
2011,24.76,89.1,108,0,60.91
2013,39.8,79.0,106,1,77.46
2019,84.37,70.1,144,1,91.45
2019,26.26,59.5,112,0,61.15
2014,30.84,86.5,97,0,66.98
2017,54.65,78.6,140,0,64.9
2023,15.23,60.3,141,0,59.95
2011,48.86,86.9,138,0,73.13
2021,64.12,59.0,27,0,58.98
2024,33.86,72.8,41,1,71.9
2008,60.52,72.4,98,0,62.3
2009,45.83,91.2,60,1,83.91
2011,25.39,72.4,122,0,64.33
2017,36.04,72.4,63,0,65.76
2019,32.4,61.4,30,1,67.19
2015,38.25,68.6,80,0,64.79
2008,43.05,66.8,9,0,52.17
2017,51.76,67.3,7,1,67.33
2011,50.17,75.1,148,1,78.95
2023,1.0,50.7,58,1,59.65
2006,38.05,59.9,29,0,41.96
2014,9.81,73.9,144,0,70.03
2017,34.49,76.2,19,1,62.48
2010,37.52,72.7,47,1,73.9
2016,59.52,74.6,129,0,74.01
2016,39.4,70.9,36,1,65.12
2024,45.18,74.8,128,0,75.91
2015,55.86,79.3,131,0,70.46
2011,64.56,79.3,99,0,73.11
2005,37.54,68.1,53,0,56.28
2005,41.88,84.2,121,0,66.71
2024,40.2,76.6,24,0,74.45
2017,29.15,87.3,130,0,73.56
2013,24.62,89.3,8,1,81.97
2007,1.0,60.6,33,1,57.8
2011,18.47,66.4,42,1,58.49
2010,4.43,83.1,73,1,71.94
2012,65.1,58.4,93,0,62.81
2013,43.77,89.2,21,0,67.32
2009,37.48,71.6,69,1,64.36
2005,25.65,80.8,129,0,66.75
2023,40.6,73.8,93,0,71.98
2014,23.04,61.1,31,0,54.04
2016,43.48,85.6,105,1,88.36
2019,44.91,95.0,143,0,95.25
2013,22.77,69.8,0,1,60.11
2024,22.39,71.8,71,0,66.89
2021,59.24,48.5,49,1,66.76
2021,38.94,88.5,140,1,88.38
2024,24.38,84.1,14,1,81.5
2016,32.59,57.7,52,0,52.67
2011,19.79,54.4,7,0,38.96
2006,38.66,55.5,73,1,64.77
2007,56.63,81.5,45,0,66.13
2021,39.45,82.4,68,0,71.25
2009,87.27,65.8,113,0,67.01
2021,48.43,80.0,146,1,94.53
2021,44.6,76.6,122,0,69.94
2021,21.83,71.3,138,1,77.69
2006,35.23,84.7,116,0,57.29
2006,24.42,63.0,42,0,47.45
2009,1.0,86.5,19,1,68.62
2005,59.49,67.7,147,0,54.56
2005,29.77,92.8,20,0,60.94
2023,24.79,64.9,81,1,76.64
2006,44.21,71.5,56,1,66.92
2016,50.25,75.6,73,0,61.99
2010,33.58,75.5,97,1,71.52
2008,39.95,79.9,109,1,74.59
2015,54.92,62.1,114,1,71.55
2021,32.8,74.6,41,0,72.53
2010,46.05,76.4,67,0,59.5
2009,6.82,69.7,69,1,62.6
2024,15.17,79.0,77,1,73.02
2006,52.11,61.5,89,0,45.83
2010,14.13,71.7,110,0,61.39
2015,44.68,67.5,111,0,64.09
2020,37.06,71.8,102,0,66.22
2020,32.71,89.5,144,0,73.52
2005,23.43,89.7,18,0,63.38
2013,58.19,87.7,69,1,72.89
2010,74.6,70.4,62,0,68.44
2020,46.0,84.1,74,1,84.89
2007,46.45,76.1,103,0,54.49
2024,26.35,75.5,74,0,71.21
2008,16.08,74.2,127,0,71.54
2023,39.21,92.6,55,0,85.27
2007,20.53,88.7,21,1,63.92
2023,4.55,82.4,88,1,82.29
2024,56.07,73.3,18,0,64.08
2011,57.04,75.4,25,0,55.45
2024,22.82,80.3,22,0,69.54
2013,44.88,69.8,46,1,71.08
2005,60.04,84.4,12,1,73.85
2012,44.1,65.8,65,0,62.48
2011,16.14,78.9,143,1,74.3
2022,35.34,52.1,72,1,58.48
2012,66.54,69.5,76,0,63.82
2005,44.94,95.0,30,0,70.58
2015,50.78,85.4,84,1,82.71
2022,46.83,90.4,58,1,87.61
2014,22.89,68.3,40,0,58.44
2007,27.58,76.0,111,0,60.87
2011,46.78,87.8,95,0,60.65
2020,56.34,81.3,121,0,82.94
2020,62.0,80.1,104,1,83.99
2024,22.84,91.3,73,0,81.47
2021,48.66,64.6,131,1,65.42
2006,63.74,73.2,98,1,78.14
2005,20.26,57.5,125,0,42.24
2020,69.73,64.0,137,0,84.04
2016,72.78,85.7,74,0,86.88
2009,92.5,65.8,13,1,62.01
2009,44.62,82.4,37,0,67.01
2013,44.73,91.6,139,1,78.77
2013,56.54,73.2,44,1,68.49
2007,55.96,80.2,144,0,64.21
2023,62.53,82.4,74,1,88.94
2020,55.68,62.8,28,1,72.77
2020,37.88,68.8,17,0,56.94
2007,64.44,65.0,19,0,56.9
2024,18.57,69.6,13,1,70.43
2005,40.12,82.2,53,1,58.65
2024,71.27,69.0,30,0,69.75
2015,15.0,74.6,57,0,68.73
2021,26.45,64.6,103,0,62.2
2012,53.43,87.3,127,1,72.42
2008,47.88,69.5,24,0,59.63
2010,22.5,90.2,18,0,58.75
2012,31.68,75.6,135,1,73.98
2024,16.38,60.9,2,0,57.36
2007,59.61,73.3,85,1,78.24
2020,34.88,64.4,144,0,65.76
2007,75.84,80.9,141,1,72.75
2022,41.62,72.4,8,0,64.09
2018,35.61,76.6,93,1,70.56
2022,33.66,71.3,148,1,78.66
2006,35.12,69.4,138,0,66.54
2007,42.22,65.3,19,0,57.76
2020,90.25,83.4,34,0,89.12
2013,33.22,73.3,52,0,63.01
2008,33.87,71.9,109,1,67.57
2005,41.31,73.0,135,1,62.46
2008,61.81,68.2,3,0,57.27
2005,11.58,71.9,101,1,60.08
2018,49.1,77.1,46,1,80.49
2020,23.65,64.7,93,1,64.92
2024,51.07,66.1,47,0,68.53
2012,30.12,88.8,90,0,61.14
2011,1.0,71.4,83,0,56.47
2007,47.39,69.5,67,0,60.18
2021,47.22,61.6,138,0,59.46
2005,28.42,83.5,124,0,55.52
2020,27.23,64.4,72,0,55.43
2016,13.77,74.8,3,1,65.55
2023,55.46,57.9,75,0,58.44
2018,57.64,83.2,72,0,81.13
2010,22.42,86.8,76,0,66.73
2010,29.2,79.8,47,0,63.65
2017,38.73,59.7,101,0,52.34
2023,85.42,83.4,105,0,90.62
2012,50.9,66.7,76,0,63.65
2006,21.13,63.3,38,0,44.1
2005,46.08,71.2,57,0,47.64
2019,12.47,71.0,18,0,59.07
2005,54.36,69.9,87,1,63.15
2009,73.51,87.7,112,0,71.57
2020,73.6,95.0,76,0,80.81
2023,54.7,61.3,76,0,70.67
2008,28.33,68.1,27,0,39.05
2007,13.98,76.4,65,0,62.31
2021,12.0,71.1,9,0,65.6
2021,1.0,79.0,125,1,77.75
2016,53.88,84.2,57,0,71.09
2018,37.94,82.5,141,0,79.8
2010,58.18,81.1,124,1,77.27
2007,68.56,91.6,111,1,79.84
2013,42.0,59.1,83,0,62.1
2009,42.92,89.8,142,0,82.11
2021,30.71,70.9,95,0,62.74
2018,33.08,82.9,32,0,70.51
2007,54.57,64.7,144,0,53.91
2005,36.51,65.9,140,0,57.94
2024,33.62,81.6,46,1,77.46
2005,39.63,55.7,111,0,55.41
2007,57.73,84.9,143,0,69.36
2022,26.15,87.6,42,0,73.65
2014,38.67,76.8,7,1,77.89
2007,44.91,76.4,2,0,52.98
2012,63.2,66.7,124,1,76.04
2018,35.21,81.7,11,0,63.94
2022,25.64,78.5,83,0,76.82
2019,30.31,65.8,15,0,68.32
2006,61.06,71.1,77,0,58.04
2014,80.67,73.4,58,0,57.93
2006,13.72,71.1,62,0,48.05
2021,18.09,61.4,48,0,70.76
2012,36.62,82.0,50,1,69.63
2005,42.22,72.6,32,0,63.07
2013,55.74,75.2,29,0,60.76
2015,22.18,69.2,75,0,56.53
2020,18.74,79.8,14,1,77.28
2011,42.76,77.0,81,1,75.05
2014,34.83,87.1,91,0,74.8
2007,58.53,79.8,22,0,61.41
2022,49.75,73.0,93,0,77.37
2017,51.11,67.6,44,1,76.08
2011,37.91,83.7,61,1,79.11
2008,87.11,72.2,14,0,59.14
2017,23.25,73.3,45,0,67.15
2024,52.22,73.3,63,0,70.22
2005,14.61,71.0,74,0,50.6
2012,18.53,73.5,51,1,64.77
2018,27.85,94.3,87,0,71.07
2020,72.59,64.5,56,0,59.27
2018,45.28,66.9,82,1,78.84
2016,28.19,88.8,65,1,75.19
2023,47.49,71.3,149,0,73.25
2019,40.7,70.5,19,1,67.85
2006,30.16,85.3,32,0,58.32
2006,12.07,60.8,71,1,52.03
2023,68.77,83.2,24,1,91.92
2021,44.2,75.5,45,0,66.46
2024,83.47,79.6,72,1,97.72
2014,58.81,79.5,97,1,84.3
2010,51.03,68.7,56,0,56.44
2019,31.3,85.5,86,0,74.55
2015,18.09,69.5,132,1,72.66
2009,35.65,79.1,54,0,65.0
2005,17.51,87.4,60,0,64.02
2012,53.0,88.8,88,1,81.28
2016,72.65,72.3,7,1,69.44
2016,34.78,79.6,15,0,67.79
2009,58.89,71.4,115,0,62.3
2011,26.22,95.0,60,0,55.29
2008,33.95,82.8,14,0,61.54
2010,23.7,75.8,149,0,59.25
2017,1.0,78.1,130,1,71.02
2024,39.27,79.1,101,0,75.71
2019,42.57,79.4,53,0,62.15
2007,61.32,72.6,13,0,58.44
2012,55.91,71.1,35,1,67.68
2024,56.18,73.5,104,0,71.18
2020,20.52,63.6,81,0,61.16
2017,49.19,82.2,66,0,62.92
2022,71.65,67.0,9,0,68.67
2014,47.6,64.4,48,0,61.29
2023,76.57,74.9,110,0,80.34
2021,80.38,73.7,64,0,78.85
2023,34.63,77.5,56,0,76.97
2009,26.06,69.3,26,0,52.66
2013,24.77,71.1,112,0,66.73
2016,9.68,81.9,132,0,67.39
2005,29.63,81.3,70,0,55.1
2005,64.15,80.9,82,0,62.21
2019,1.0,75.3,56,0,63.15
2006,19.25,76.7,119,1,71.41
2020,37.46,77.3,92,0,70.88
2012,22.46,68.4,14,0,50.52
2017,29.45,89.7,110,0,81.61
2005,29.75,88.3,100,1,64.45
2020,34.85,82.9,118,1,79.26
2011,25.41,70.7,75,0,62.2
2009,23.78,80.4,19,0,66.74
2007,58.69,84.8,130,0,71.7
2016,60.99,62.8,72,0,64.18
2020,12.39,91.9,121,0,74.43
2023,1.0,57.6,40,1,66.09
2009,61.27,82.0,129,0,70.51
2018,15.42,89.5,22,1,72.81
2009,44.25,73.9,22,0,56.33
2019,8.69,73.5,143,1,70.06
2021,65.96,81.7,8,1,82.0
2018,90.87,93.5,12,0,82.2
2024,43.66,72.2,50,0,78.51
2009,38.12,67.2,63,0,52.68
2016,33.56,70.8,51,0,60.86
2020,55.64,59.5,37,0,68.23
2020,51.35,84.0,99,0,85.67
2011,60.07,69.9,145,0,68.36
2008,27.44,72.9,50,1,62.21
2005,46.8,84.1,136,0,63.5
2009,29.15,71.2,140,1,58.97
2014,18.85,82.6,54,0,59.38
2009,39.18,64.6,108,1,65.29
2008,21.55,84.6,43,0,59.17
2006,63.47,78.4,109,0,68.1
2024,22.76,74.1,127,1,79.05
2014,47.27,76.3,104,0,64.01
2023,27.93,62.1,9,1,69.81
2005,45.54,76.1,99,0,72.35
2009,29.52,73.6,147,0,60.18
2017,14.86,62.4,108,0,59.13
2008,49.68,68.3,107,1,71.58
2020,35.29,73.7,139,0,68.24
2020,45.72,68.9,145,1,84.94
2006,31.42,50.9,93,1,45.71
2021,13.44,85.8,62,0,68.76
2024,61.66,73.6,83,0,73.83
2016,54.74,52.3,24,1,63.1
2022,28.66,95.0,11,0,66.09
2007,41.4,87.4,148,0,75.68
2005,60.84,71.5,24,0,58.15
2005,30.86,66.6,10,0,54.03
2023,33.96,79.0,63,0,80.23
2015,44.87,77.0,125,0,65.79
2009,30.82,80.4,49,1,56.01
2016,57.14,66.6,88,0,70.81
2007,36.62,86.0,98,0,63.55
2005,24.32,70.3,115,1,56.86
2005,52.17,81.8,95,1,74.36
2012,17.16,67.0,13,1,72.66
2014,80.3,95.0,0,0,76.2
2015,71.65,82.0,24,1,83.68
2016,50.27,95.0,71,0,72.45
2017,48.59,83.3,68,0,63.49
2016,47.65,69.4,132,0,71.81
2018,30.22,83.3,104,0,74.51
2006,45.95,84.0,146,1,72.67
2023,21.54,78.7,22,0,76.63
2022,50.08,81.3,8,1,71.34
2007,57.36,82.6,117,1,69.21
2021,32.44,65.1,93,0,62.13
2012,28.1,64.4,143,0,57.36
2014,15.75,67.1,32,0,62.02
2006,69.16,76.3,129,0,66.01
2023,29.69,72.8,13,0,64.92
2013,36.03,65.2,0,1,56.08
2011,46.0,82.8,89,0,72.96
2008,45.64,77.8,88,0,56.88
2022,54.93,76.7,143,1,78.96
2017,32.41,72.4,89,0,63.12
2015,17.23,71.2,13,1,65.66
2008,13.73,66.6,110,0,49.65
2008,28.41,84.3,142,0,69.47
2014,20.96,68.0,82,0,57.01
2009,33.93,77.1,71,0,65.65
2013,66.15,91.6,129,0,81.11
2007,32.45,71.7,26,1,70.56
2021,32.45,84.6,73,0,71.41
2007,39.67,80.7,98,1,75.01
2020,31.89,78.1,71,0,60.46
2008,38.65,79.3,22,0,73.41
2022,50.82,74.1,67,0,75.57
2021,57.7,75.3,141,1,82.7
2011,60.06,69.5,116,0,63.07
2009,81.14,75.4,105,0,67.09
2016,51.39,69.1,92,1,82.88
2021,84.69,85.1,64,0,85.72
2017,24.47,58.0,67,1,61.41
2007,81.83,79.8,127,0,63.94
2013,32.39,78.4,62,1,77.52
2021,34.36,77.5,112,1,84.48
2021,37.6,85.2,89,1,87.04
2024,35.63,72.1,80,0,70.19
2020,41.72,77.6,102,0,70.64
2017,28.4,57.8,115,1,74.95
2023,56.6,70.8,12,0,77.8
2021,28.94,83.6,123,0,78.27
2008,53.11,61.6,146,1,71.32
2016,70.55,76.6,87,0,73.21
2013,32.86,68.2,10,0,49.09
2023,55.89,73.9,14,0,65.53
2016,51.18,68.8,9,0,67.07
2013,85.06,62.5,40,0,68.79
2011,29.9,78.9,72,1,75.59
2018,55.9,74.5,51,0,70.32
2024,7.48,81.1,127,1,86.69
2023,30.08,82.9,27,1,79.44
2019,47.07,87.3,64,1,86.19
2020,67.86,76.3,16,0,70.12
2009,15.48,87.7,94,1,66.78
2007,55.72,65.2,137,0,63.75
2016,38.74,84.1,62,0,76.13
2024,9.57,79.6,37,1,88.65
2008,43.63,77.3,69,0,62.38
2020,74.18,79.4,103,1,80.76
2011,17.59,65.4,52,0,51.09
2017,37.8,63.0,118,1,70.01
2014,20.27,92.1,73,0,70.68
2011,30.63,73.3,53,1,69.06
2018,68.64,73.2,19,0,70.05
2009,34.57,64.0,78,0,58.16
2007,68.03,60.2,30,0,54.38
2015,62.18,74.1,134,0,59.96
2015,32.75,71.6,57,0,62.69
2022,29.95,75.0,104,0,71.23
2019,22.08,75.9,9,0,65.65
2016,21.38,95.0,9,0,68.15
2013,47.06,71.6,38,0,62.28
2014,39.6,90.8,36,1,81.12
2016,27.53,91.4,118,1,81.74
2021,9.02,82.5,66,1,80.1
2010,42.12,72.6,42,1,67.09
2011,30.61,61.4,51,0,53.42
2018,36.09,79.8,100,0,56.09
2017,46.09,85.2,55,0,66.14
2012,1.0,92.5,75,1,68.03
2014,9.33,65.5,67,1,63.78
2013,85.93,72.6,136,0,78.73
2022,29.87,65.6,105,0,65.52
2006,1.0,68.7,124,0,55.72
2009,11.0,81.6,91,0,63.46
2009,89.69,68.2,22,0,62.56
2010,25.94,66.8,108,0,59.54
2023,63.18,83.0,60,1,87.59
2012,42.42,79.5,43,0,63.16
2020,30.3,78.5,15,1,76.5
2017,55.51,68.5,21,1,78.45
2005,1.0,87.9,56,1,67.28
2024,11.18,75.1,61,1,76.59
2021,30.15,95.0,106,1,83.74
2011,13.14,76.6,70,1,73.66
2017,28.38,51.7,89,1,55.11
2008,57.07,51.2,71,0,41.59
2008,42.64,81.2,69,1,72.72
2010,66.61,88.0,29,1,73.04
2023,43.91,67.2,102,1,83.11
2016,59.85,95.0,31,1,76.41
2011,38.72,91.6,85,0,75.48
2014,28.19,77.1,56,0,66.89
2023,69.61,80.4,108,0,81.03
2011,25.81,83.9,8,0,50.55
2007,46.88,93.9,30,1,66.46
2017,55.38,81.8,70,0,73.52
2017,56.83,76.9,136,0,72.2
2022,16.69,81.7,12,0,71.2
2024,61.04,80.4,130,0,80.7
2012,20.42,84.2,34,1,69.71
2013,56.21,59.3,20,1,51.35
2011,50.7,78.2,63,0,68.75
2005,56.37,79.6,94,0,59.71
2007,15.9,74.3,33,0,50.78
2017,51.76,82.8,120,0,69.44
2021,61.71,94.2,14,0,72.16
2005,43.87,76.4,119,1,76.08
2010,23.63,81.9,95,0,67.23
2010,58.39,91.1,5,0,72.6
2016,42.28,76.6,108,0,67.77
2017,6.51,66.1,96,1,57.74
2017,22.08,81.2,31,1,83.55
2019,29.47,53.0,82,1,66.32
2020,70.12,52.0,117,0,65.06
2015,66.6,78.3,78,1,77.26
2009,66.54,51.6,77,0,42.58
2008,44.65,61.8,146,0,63.03
2007,58.27,71.2,106,0,55.95
2023,17.18,67.8,125,0,69.85
2024,40.14,73.5,14,1,80.54
2022,49.03,86.1,133,1,90.34
2019,18.5,77.4,72,0,68.62
2013,44.2,66.6,100,1,76.06
2021,73.73,88.5,97,1,87.02
2018,51.18,60.7,25,1,68.5
2019,58.35,77.2,91,0,71.99
2005,1.0,59.6,124,0,36.95
2007,71.16,77.5,72,0,66.07
2020,36.28,71.8,122,1,83.7
2015,24.63,85.8,52,0,74.09
2016,36.51,82.2,77,0,78.52
2014,10.3,69.1,91,0,48.99
2020,60.96,67.2,87,0,77.24
2012,33.29,71.8,12,1,66.04
2010,25.23,93.8,42,1,82.76
2016,36.64,91.2,75,1,79.67
2012,62.36,65.3,50,1,65.46
2008,42.63,83.0,18,0,55.12
2012,11.81,57.7,148,0,57.49
2022,49.3,70.5,121,0,74.88
2009,21.42,65.7,23,0,44.84
2013,1.0,85.7,25,0,49.83
2008,69.92,62.1,119,1,69.96
2021,49.14,79.3,81,0,76.51
2013,38.43,75.0,99,1,67.68
2005,33.09,73.2,16,0,46.45
2024,67.94,91.7,67,0,87.88
2017,101.74,92.6,43,0,92.59
2020,48.98,73.6,60,0,66.65
2017,19.41,71.5,122,0,59.98
2018,36.91,59.9,92,0,62.0
2007,48.61,75.0,73,0,63.2
2010,1.0,94.5,66,0,62.9
2022,46.69,73.7,110,0,83.09
2023,48.73,82.3,1,1,85.41
2009,66.53,61.0,88,1,64.19
2019,64.44,70.7,25,0,59.48
2006,42.22,79.6,98,1,76.44
2014,70.29,76.1,26,1,81.03
2022,80.71,83.2,88,1,88.22
2017,40.56,69.0,145,0,69.17
2009,48.36,57.5,0,0,48.45
2005,4.65,86.2,102,1,69.51
2005,10.98,65.6,130,0,45.84
2022,23.24,80.1,40,1,71.28
2019,31.13,79.5,50,1,80.18
2021,18.08,58.4,14,0,60.08
2015,39.28,85.5,7,0,64.53
2021,31.73,69.3,37,0,60.33
2017,61.42,75.6,113,0,77.98
2005,30.5,71.4,82,0,50.81
2006,1.0,91.2,55,0,59.59
2013,42.52,88.4,102,0,71.74
2007,39.72,56.9,137,0,45.51
2005,22.76,95.0,101,1,74.92
2020,41.9,68.2,77,0,66.72
2010,18.49,95.0,82,1,78.18
2021,46.6,72.4,29,1,76.25
2009,92.66,71.6,4,0,73.77
2009,3.89,72.5,118,1,69.75
2010,29.68,71.0,30,0,55.64
2007,26.47,95.0,22,1,72.82
2009,31.33,74.2,47,0,66.19
2009,60.4,72.0,108,0,67.96
2014,50.86,75.8,39,0,58.52
2014,56.98,65.3,5,0,63.4
2023,40.61,91.0,37,0,84.04
2021,13.56,60.3,99,0,68.02
2018,17.71,68.9,26,0,56.78
2013,54.93,84.4,68,0,67.85
2018,43.42,75.4,56,0,62.72
2005,65.2,80.5,16,0,62.37
2023,45.87,90.3,70,0,83.61
2017,16.34,85.0,46,0,64.3
2017,29.56,76.4,78,1,73.41
2008,51.3,95.0,109,0,62.78
2005,54.21,68.7,12,1,68.64
2021,57.1,74.0,138,0,67.44
2012,19.03,74.7,123,1,71.83
2006,15.98,74.0,108,0,56.78
2012,36.2,64.3,89,0,57.86
2011,68.8,59.2,85,0,59.3
2006,26.12,79.2,91,0,53.8
2007,49.1,68.7,23,0,52.81
2022,49.1,94.1,72,0,86.45
2016,55.22,74.3,3,1,78.7
2005,73.29,72.5,112,0,60.73
2016,71.24,85.9,45,0,66.91
2009,28.11,79.0,17,1,61.88
2021,1.0,73.2,42,0,70.94
2020,26.43,68.6,92,1,69.27
2019,41.51,95.0,102,0,79.54
2019,32.77,78.6,123,1,86.65
2009,79.36,85.8,9,0,65.84
2018,40.38,64.8,72,1,69.61
2006,53.07,69.2,30,1,66.84
2015,44.34,95.0,59,0,83.66
2023,33.07,89.0,130,0,77.12
2011,1.5,79.6,117,0,67.62
2010,38.43,71.2,13,1,62.6
2006,105.09,72.7,142,0,65.56
2010,15.11,68.2,1,0,51.68
2022,3.7,63.4,23,0,51.23
2006,78.73,84.2,63,0,70.24
2022,54.84,80.4,99,0,92.72
2019,43.75,82.4,113,1,88.12
2023,67.25,71.6,23,0,70.93
2006,23.37,77.6,90,1,70.84
2024,37.87,70.7,25,0,62.81
2010,59.1,67.7,64,0,56.11
2005,82.21,91.7,119,0,73.73
2019,16.63,76.2,3,0,62.39
2014,65.61,80.1,0,1,68.61
2023,47.64,83.4,49,1,82.14
2021,43.26,76.3,109,0,72.19
2009,39.85,77.4,138,0,72.49
2008,12.31,64.1,73,0,43.5
2014,59.26,66.0,61,1,63.23
2021,24.35,65.5,80,1,72.09
2014,18.41,81.1,55,1,76.99
2021,57.71,75.7,110,0,77.57
2024,55.78,66.0,20,0,69.1
2009,41.58,80.8,140,0,65.39
2006,61.59,80.4,8,0,64.04
2010,68.52,68.1,138,0,69.34
2006,66.16,74.7,69,0,60.25
2017,29.43,80.5,128,0,65.91
2015,60.28,66.4,117,1,69.39
2015,44.23,80.7,55,1,80.11
2020,74.52,78.0,30,0,65.96
2015,37.53,65.0,36,0,66.32
2023,32.87,77.2,90,0,70.15
2019,27.72,78.7,113,1,79.88
2020,43.79,68.7,127,1,80.8
2015,49.33,69.5,121,1,70.8
2020,49.72,64.9,68,1,71.02
2012,46.98,70.5,35,0,60.31
2008,53.42,74.9,31,0,55.13
2012,35.55,69.6,63,0,53.52
2008,22.55,60.2,47,0,43.32
2007,20.8,68.1,80,1,66.82
2007,59.5,70.8,148,0,65.33
2022,49.41,83.2,59,0,71.58
2023,2.88,80.9,140,0,76.67
2023,61.94,83.4,0,1,79.68
2009,77.61,67.6,64,0,52.09
2022,25.68,76.4,32,1,78.74
2014,46.72,50.8,37,0,59.67
2010,30.53,79.3,24,0,62.21
2005,52.57,81.1,58,0,51.9
2009,16.68,71.5,100,1,64.33
2013,38.57,78.0,126,0,66.09
2016,59.63,59.9,40,1,69.56
2018,64.71,67.0,56,0,62.17
2006,48.53,82.7,47,0,60.09
2021,33.22,80.1,71,1,72.29
2018,8.15,70.9,55,0,60.92
2017,24.85,83.1,64,0,61.17
2013,30.61,76.4,11,1,69.92
2019,26.05,70.0,68,0,59.73
2019,41.19,73.2,133,1,62.91
2015,33.16,70.4,88,0,66.57
2020,43.44,63.2,24,0,63.77
2021,64.05,87.6,0,0,82.96
2008,31.87,69.3,130,1,55.89
2005,12.34,66.7,48,0,44.32
2012,25.97,59.7,146,1,65.31
2021,51.67,48.6,59,1,68.68
2007,53.56,82.0,1,0,53.38
2024,48.12,82.9,72,0,79.64
2019,66.01,86.9,144,0,78.91
